email,role,signup_date,notes
mariana.r@example.com,Artist,2026-07-21,Interested in featured spot
alex.t@example.eu,Collector,2026-07-21,VIP invite
luis.g@example.mx,Artist,2026-07-22,Early access
joaquin.p@example.com,Collector,2026-07-22,Needs fiat onramp
sofia.s@example.es,Artist,2026-07-23,Interested in curator program
galeria.lacasa@example.org,Gallery,2026-07-24,Requests pilot info
artist1@example.com,Artist,2026-07-25,General
artist2@example.com,Artist,2026-07-25,General
collector1@example.com,Collector,2026-07-25,General
collector2@example.com,Collector,2026-07-25,General
user11@example.com,Other,2026-07-26,General
user12@example.com,Other,2026-07-26,General
user13@example.com,Other,2026-07-26,General
user14@example.com,Other,2026-07-26,General
user15@example.com,Other,2026-07-26,General
user16@example.com,Other,2026-07-26,General
user17@example.com,Other,2026-07-27,General
user18@example.com,Other,2026-07-27,General
user19@example.com,Other,2026-07-27,General
user20@example.com,Other,2026-07-27,General
user21@example.com,Other,2026-07-27,General
user22@example.com,Other,2026-07-27,General
user23@example.com,Other,2026-07-27,General
user24@example.com,Other,2026-07-27,General
user25@example.com,Other,2026-07-27,General
user26@example.com,Other,2026-07-28,General
user27@example.com,Other,2026-07-28,General
user28@example.com,Other,2026-07-28,General
user29@example.com,Other,2026-07-28,General
user30@example.com,Other,2026-07-28,General
user31@example.com,Other,2026-07-28,General
user32@example.com,Other,2026-07-29,General
user33@example.com,Other,2026-07-29,General
user34@example.com,Other,2026-07-29,General
user35@example.com,Other,2026-07-29,General
user36@example.com,Other,2026-07-29,General
user37@example.com,Other,2026-07-29,General
user38@example.com,Other,2026-07-30,General
user39@example.com,Other,2026-07-30,General
user40@example.com,Other,2026-07-30,General
user41@example.com,Other,2026-07-30,General
user42@example.com,Other,2026-07-30,General
user43@example.com,Other,2026-07-31,General
user44@example.com,Other,2026-07-31,General
user45@example.com,Other,2026-07-31,General
user46@example.com,Other,2026-07-31,General
user47@example.com,Other,2026-07-31,General
user48@example.com,Other,2026-07-31,General
